date,region,rw,population,inference,cases,hospit,deaths,cases_smoothed,hospit_smoothed,deaths_smoothed,cases_per_100000,hospit_per_100000,deaths_per_100000,cases_incidence,hospit_incidence,deaths_incidence,cumulative_cases,cumulative_hospit,cumulative_deaths
2020-11-25,zealand,118,838840,false,170,8,0,143.0,5.428571428571429,0.7142857142857143,20.266081731915502,0.9536979638548472,0.0,115.03981688999095,4.887702064756092,0.5960612274092795,9149,837,143
2020-11-26,zealand,119,838840,false,164,7,1,149.85714285714286,6.0,0.42857142857142855,19.550808259024368,0.8344857183729912,0.1192122454818559,117.90091078155548,4.64927757379238,0.7152734728911354,9313,844,144
2020-11-27,zealand,120,838840,false,133,3,0,158.85714285714286,5.571428571428571,0.42857142857142855,15.855228649086834,0.3576367364455677,0.0,115.15902913547279,4.530065328310524,0.7152734728911354,9446,847,144
2020-11-28,zealand,121,838840,false,146,5,1,167.0,5.285714285714286,0.2857142857142857,17.404987840350962,0.5960612274092795,0.1192122454818559,119.33145772733775,4.530065328310524,0.5960612274092795,9592,852,145
2020-11-29,zealand,122,838840,false,143,7,0,181.0,4.857142857142857,0.42857142857142855,17.04735110390539,0.8344857183729912,0.0,125.05364551046684,5.006914310237948,0.3576367364455677,9735,859,145
2020-11-30,zealand,123,838840,false,206,4,0,193.14285714285714,5.142857142857143,0.7142857142857143,24.557722569262314,0.4768489819274236,0.0,132.56401697582376,4.64927757379238,0.3576367364455677,9941,863,145
2020-12-01,zealand,124,838840,false,207,3,0,211.85714285714286,6.0,0.7142857142857143,24.67693481474417,0.3576367364455677,0.0,139.35911496828953,4.410853082828668,0.2384244909637118,10148,866,145
2020-12-02,zealand,125,838840,false,268,5,1,229.14285714285714,7.0,0.8571428571428571,31.94888178913738,0.5960612274092795,0.1192122454818559,151.04191502551143,4.0532163463831,0.3576367364455677,10416,871,146
2020-12-03,zealand,126,838840,false,249,9,3,247.85714285714286,7.857142857142857,0.8571428571428571,29.683849124982114,1.0729102093367031,0.3576367364455677,161.17495589146915,4.2916408373468125,0.5960612274092795,10665,880,149
2020-12-04,zealand,127,838840,false,264,9,0,273.0,9.0,0.8571428571428571,31.47203280720996,1.0729102093367031,0.0,176.79176004959228,5.006914310237948,0.5960612274092795,10929,889,149
2020-12-05,zealand,128,838840,false,267,12,2,310.0,9.714285714285714,0.8571428571428571,31.829669543655527,1.4305469457822708,0.2384244909637118,191.21644175289686,5.841400028610939,0.7152734728911354,11196,901,151
2020-12-06,zealand,129,838840,false,274,13,0,334.2857142857143,10.285714285714286,0.7142857142857143,32.664155262028515,1.5497591912641266,0.0,206.83324591102,6.5566735015020745,0.7152734728911354,11470,914,151
2020-12-07,zealand,130,838840,false,382,12,0,359.7142857142857,11.428571428571429,0.2857142857142857,45.53907777406895,1.4305469457822708,0.0,227.8146011158266,7.510371465356921,0.7152734728911354,11852,926,151
2020-12-08,zealand,131,838840,false,466,8,0,394.14285714285717,12.285714285714286,0.5714285714285714,55.55290639454485,0.9536979638548472,0.0,258.6905726956273,8.1064326927662,0.7152734728911354,12318,934,151
2020-12-09,zealand,132,838840,false,438,9,0,415.0,11.571428571428571,0.42857142857142855,52.21496352105288,1.0729102093367031,0.0,278.9566544275428,8.583281674693625,0.5960612274092795,12756,943,151
