"Region";"Dato";"Bekræftede tilfælde"
Midtjylland;2020-07-28;12
Nordjylland;2020-07-28;4
Sjælland;2020-07-28;26
Syddanmark;2020-07-28;5
Hovedstaden;2020-07-29;22
Midtjylland;2020-07-29;10
Nordjylland;2020-07-29;5
Sjælland;2020-07-29;13
Syddanmark;2020-07-29;9
Hovedstaden;2020-07-30;26
Midtjylland;2020-07-30;21
Nordjylland;2020-07-30;4
Sjælland;2020-07-30;26
Syddanmark;2020-07-30;7
Hovedstaden;2020-07-31;13
Midtjylland;2020-07-31;18
Nordjylland;2020-07-31;3
Sjælland;2020-07-31;13
Syddanmark;2020-07-31;11
Hovedstaden;2020-08-01;10
Midtjylland;2020-08-01;30
Nordjylland;2020-08-01;4
Sjælland;2020-08-01;14
Syddanmark;2020-08-01;6
Hovedstaden;2020-08-02;21
Midtjylland;2020-08-02;39
Nordjylland;2020-08-02;6
Sjælland;2020-08-02;9
Syddanmark;2020-08-02;3
Hovedstaden;2020-08-03;21
Midtjylland;2020-08-03;53
Nordjylland;2020-08-03;5
Sjælland;2020-08-03;29
Syddanmark;2020-08-03;9
Hovedstaden;2020-08-04;25
Midtjylland;2020-08-04;59
Nordjylland;2020-08-04;4
Sjælland;2020-08-04;21
Syddanmark;2020-08-04;12
Hovedstaden;2020-08-05;29
Midtjylland;2020-08-05;66
Nordjylland;2020-08-05;4
Sjælland;2020-08-05;8
Syddanmark;2020-08-05;9
Hovedstaden;2020-08-06;35
Midtjylland;2020-08-06;86
Nordjylland;2020-08-06;4
Sjælland;2020-08-06;32
Syddanmark;2020-08-06;14
Hovedstaden;2020-08-07;20
Midtjylland;2020-08-07;106
Nordjylland;2020-08-07;4
Sjælland;2020-08-07;7
Syddanmark;2020-08-07;4
Hovedstaden;2020-08-08;19
Midtjylland;2020-08-08;57
Nordjylland;2020-08-08;2
Sjælland;2020-08-08;8
Syddanmark;2020-08-08;3
Hovedstaden;2020-08-09;41
Midtjylland;2020-08-09;65
Nordjylland;2020-08-09;9
Sjælland;2020-08-09;4
Syddanmark;2020-08-09;10
Hovedstaden;2020-08-10;43
Midtjylland;2020-08-10;80
Nordjylland;2020-08-10;7
Sjælland;2020-08-10;10
Syddanmark;2020-08-10;12
Hovedstaden;2020-08-11;40
Midtjylland;2020-08-11;67
Nordjylland;2020-08-11;2
Sjælland;2020-08-11;18
Syddanmark;2020-08-11;9
Hovedstaden;2020-08-12;48
Midtjylland;2020-08-12;81
Nordjylland;2020-08-12;19
Sjælland;2020-08-12;5
Syddanmark;2020-08-12;7
Hovedstaden;2020-08-13;34
Midtjylland;2020-08-13;60
Nordjylland;2020-08-13;8
Sjælland;2020-08-13;2
Syddanmark;2020-08-13;12
Hovedstaden;2020-08-14;48
Midtjylland;2020-08-14;30
Nordjylland;2020-08-14;8
Sjælland;2020-08-14;14
Syddanmark;2020-08-14;10
Hovedstaden;2020-08-15;25
Midtjylland;2020-08-15;78
Nordjylland;2020-08-15;6
Sjælland;2020-08-15;6
Syddanmark;2020-08-15;11
Hovedstaden;2020-08-16;30
Midtjylland;2020-08-16;32
Nordjylland;2020-08-16;10
Sjælland;2020-08-16;7
Syddanmark;2020-08-16;11
Hovedstaden;2020-08-17;29
Midtjylland;2020-08-17;43
Nordjylland;2020-08-17;8
Sjælland;2020-08-17;6
Syddanmark;2020-08-17;10
Hovedstaden;2020-08-18;40
Midtjylland;2020-08-18;41
Nordjylland;2020-08-18;7
Sjælland;2020-08-18;14
Syddanmark;2020-08-18;10
Hovedstaden;2020-08-19;34
Midtjylland;2020-08-19;27
Nordjylland;2020-08-19;8
Sjælland;2020-08-19;4
Syddanmark;2020-08-19;13
Hovedstaden;2020-08-20;24
Midtjylland;2020-08-20;31
Nordjylland;2020-08-20;4
Sjælland;2020-08-20;11
Syddanmark;2020-08-20;11
Hovedstaden;2020-08-21;29
Midtjylland;2020-08-21;27
Nordjylland;2020-08-21;7
Sjælland;2020-08-21;5
Syddanmark;2020-08-21;15
Hovedstaden;2020-08-22;29
Midtjylland;2020-08-22;29
Nordjylland;2020-08-22;6
Sjælland;2020-08-22;5
Syddanmark;2020-08-22;19
Hovedstaden;2020-08-23;23
Midtjylland;2020-08-23;23
Nordjylland;2020-08-23;8
Sjælland;2020-08-23;4
Syddanmark;2020-08-23;15
Hovedstaden;2020-08-24;25
Midtjylland;2020-08-24;29
Nordjylland;2020-08-24;6
Sjælland;2020-08-24;6
Syddanmark;2020-08-24;6
Hovedstaden;2020-08-25;36
Midtjylland;2020-08-25;22
Nordjylland;2020-08-25;9
Sjælland;2020-08-25;4
Syddanmark;2020-08-25;10
Hovedstaden;2020-08-26;36
Midtjylland;2020-08-26;20
Nordjylland;2020-08-26;4
Sjælland;2020-08-26;9
Syddanmark;2020-08-26;10
Hovedstaden;2020-08-27;23
Midtjylland;2020-08-27;20
Nordjylland;2020-08-27;4
Sjælland;2020-08-27;7
Syddanmark;2020-08-27;15
Hovedstaden;2020-08-28;42
Midtjylland;2020-08-28;25
Nordjylland;2020-08-28;9
Sjælland;2020-08-28;9
Syddanmark;2020-08-28;22
Hovedstaden;2020-08-29;37
Midtjylland;2020-08-29;18
Nordjylland;2020-08-29;11
Sjælland;2020-08-29;2
Syddanmark;2020-08-29;14
Hovedstaden;2020-08-30;50
Midtjylland;2020-08-30;23
Nordjylland;2020-08-30;6
Sjælland;2020-08-30;5
Syddanmark;2020-08-30;19
Hovedstaden;2020-08-31;66
Midtjylland;2020-08-31;18
Nordjylland;2020-08-31;3
Sjælland;2020-08-31;9
Syddanmark;2020-08-31;22
Hovedstaden;2020-09-01;91
Midtjylland;2020-09-01;33
Nordjylland;2020-09-01;7
Sjælland;2020-09-01;16
Syddanmark;2020-09-01;51
Hovedstaden;2020-09-02;85
Midtjylland;2020-09-02;17
Nordjylland;2020-09-02;3
Sjælland;2020-09-02;14
Syddanmark;2020-09-02;36
Hovedstaden;2020-09-03;115
Midtjylland;2020-09-03;16
Nordjylland;2020-09-03;11
Sjælland;2020-09-03;15
Syddanmark;2020-09-03;35
Hovedstaden;2020-09-04;114
Midtjylland;2020-09-04;21
Nordjylland;2020-09-04;15
Sjælland;2020-09-04;23
Syddanmark;2020-09-04;26
Hovedstaden;2020-09-05;103
Midtjylland;2020-09-05;14
Nordjylland;2020-09-05;12
Sjælland;2020-09-05;17
Syddanmark;2020-09-05;51
Hovedstaden;2020-09-06;151
Midtjylland;2020-09-06;18
Nordjylland;2020-09-06;16
Sjælland;2020-09-06;18
Syddanmark;2020-09-06;19
Hovedstaden;2020-09-07;158
Midtjylland;2020-09-07;20
Nordjylland;2020-09-07;27
Sjælland;2020-09-07;66
Syddanmark;2020-09-07;24
Hovedstaden;2020-09-08;157
Midtjylland;2020-09-08;41
Nordjylland;2020-09-08;24
Sjælland;2020-09-08;50
Syddanmark;2020-09-08;55
Hovedstaden;2020-09-09;157
Midtjylland;2020-09-09;28
